Group,Character,Label,Help,Status,ValueType,ControlType,Params,Weight,Strictness,Source
Taxonomy,family,family,,display,,,,,,
Taxonomy,Taxon,Taxon,,display,,,,,,
,,,,,,,,,,
fruitbody,colour,club colour,,key,ordinal,single,yellow | palegreen | green | greenbrown | greygreen | darkgreen | carmine| palebrown | brown |black brown | black,8,5,
fruitbody,headsurface,texture of head surface,,key,text,single,smooth | sticky | hairy | rugose,10,5,
fruitbody,clubheight,club height in cm,,key,numeric,spin,"1,12,1",5,5,
fruitbody,headratio,head to stem ratio,,key,numeric,spin,".1,.9,.1",5,5,
fruitbody,headshape,shape of the head,,key,text,single,club | cylindrical,5,5,
fruitbody,headdelimited,transition from head to stem,,key,text,single,yes | no,5,5,
fruitbody,stemsurface,stem surface,,key,text,single,smooth | sticky | hairy | rugose,10,5,
fruitbody,stemsize,stem length in cm,,key,numeric,spin,"1,12,1",10,5,
fruitbody,stemcolour,stem colour,,key,text,single,black |blackbrown | brown | palebrown | green | blue,8,5,
fruitbody,hairlength,,,,numeric,spin,"110,180,10",10,5,
,,,,,,,,,,
spore,sporenumber,Number of spores in ascus,number of spores in asci,key,text,single,4 | 8,10,10,
spore,sporecolour,Spore colour,,key,text,single,hialine | dark,10,10,
spore,sporelength,Spore length in microns,The length of the majority of the largest spores,key,numeric,spin,"10,200,1",10,6,
spore,sporewidth,Spore width in microns,The width of the majority of the largest spores,key,numeric,spin,"2,9,.5",10,6,
spore,sporematurity,Stage of spores maturing,,key,text,single,early | late,10,7,
spore,sporesepta,Number of septa in mature spore,This is usually the number of septa in ejected spores but with Glutinoglossum this should be measured with spores still in the asci,key,numeric,spin,"0,17,1",10,7,
spore,sporeshape,Shape of spores,,key,text,single,straight | bent | tapering,10,7,
,,,,,,,,,,
paraphyses,paraphysescurvature,Overall shape of paraphyses,Shape at the top of the Paraphyses,key,text,multi,straight | crescent | crook| hook | curled,10,5,
paraphyses,paraphysesapex,Shape of the top of the paraphyses,,key,text,single,cylindrical  | pearshaped | globose,10,5,
paraphyses,paraphysessepta,Paraphyses septa,This is how close or wide apart the septa are in the paraphyses,key,text,single,narrow | broad | mixed,10,5,
paraphyses,paraphysescolour,Colour of the top of the paraphyses,,key,text,single,coloured,10,5,
paraphyses,paraphysesbranch,Paraphyses branching,,key,text,single,base | middle | apex,10,5,
paraphyses,paraphysesconstriction,Paraphyses septa constriction,,key,text,single,yes | no,10,5,
paraphyses,paraphysesaglutination,Paraphyses aglutination,,key,text,single,yes | no,10,5,
paraphyses,paraphyseslength,Comparative length to ascii,,key,text,single,longer,10,5,
,,,,,,,,,,
asci,ascuslength,Ascus length in microns,,key,numeric,spin,"50,350,10",8,6,
asci,ascuswidth,Ascus width in microns,,key,numeric,spin,"15,35,1",8,6,
,,,,,,,,,,
other,habitat,Growth habitat,The substrate that the specimen is growing on,key,text,single,,7,7,
other,references,References,,display,,,,,,
other,commonness,Records on FRDBI,,display,,,,,,
other,ukspecies,UK Species,,display,,,,,,
