URI,ImageWidth,Type,Priority,Caption,Taxon,Character,State
,,,,,,,
,,,,,,,
images/arenarium/ascocarp.jpg,100%,image-local,1,Ascocarp Sabuloglossum arenarium &copy:Sylviane Moingeon,sabuloglossum arenarium,,
images/arenarium/paraphyses.jpg,100%,image-local,2,Paraphyses Sabuloglossum arenarium &copy:J. Gaisler,sabuloglossum arenarium,,
images/arenarium/spore.jpg,100%,image-local,3,Sporess Sabuloglossum arenarium ,sabuloglossum arenarium,,
images/arenarium/details.htm,,html-local, ,,sabuloglossum arenarium,,
images/aseptatum/paraphyses.jpg,100%,image-local,1,,maasoglossum aseptatum,,
images/aseptatum/spore.jpg,100%,image-local,2,,maasoglossum aseptatum,,
images/aseptatum/details.htm,,html-local, ,,maasoglossum aseptatum,,
images/atropurpureum/spore.jpg,100%,image-local,2,,geoglossum atropurpureum,,
images/atropurpureum/ascocarp.jpg,100%,image-local,1,,geoglossum atropurpureum,,
images/atropurpureum/details.htm,,html-local, ,,geoglossum atropurpureum,,
images/barlae/ascocarp.jpg,100%,image-local,1,Ascocarp Geoglossum barlae &copy:M Greaves,geoglossum barlae,,
images/barlae/paraphyses.jpg,100%,image-local,2,,geoglossum barlae,,
images/barlae/paraphyses2.jpg,100%,image-local,3,,geoglossum barlae,,
images/barlae/spore.jpg,100%,image-local,4,,geoglossum barlae,,
images/barlae/details.htm,,html-local, ,,geoglossum barlae,,
images/circinatum/paraphyses.jpg,100%,image-local,1,,glutinoglossum circinatum,,
images/circinatum/details.htm,,html-local, ,,glutinoglossum circinatum,,
images/clavatum/details.htm,,html-local, ,,microglossum clavatum,,
images/confusum/details.htm,,html-local, ,,trichoglossum confusum,,
images/cookeanum/paraphyses(n).jpg,100%,image-local,4,,geoglossum cookeanum,,
images/cookeanum/paraphyses.jpg,100%,image-local,2,,geoglossum cookeanum,,
images/cookeanum/ascocarp.jpg,100%,image-local,1,Ascocarp Geoglossum cookeanum &copy:M Greaves,geoglossum cookeanum,,
images/cookeanum/description.jpg,100%,image-local,3,,geoglossum cookeanum,,
images/cookeanum/details.htm,,html-local, ,,geoglossum cookeanum,,
images/cyanobasis/paraphyses.jpg,100%,image-local,2,,microglossum cyanobasis,,
images/cyanobasis/ascocarp.jpg,100%,image-local,1,,microglossum cyanobasis,,
images/cyanobasis/details.htm,,html-local, ,,microglossum cyanobasis,,
images/difforme/spore.jpg,100%,image-local,2,,geoglossum difforme,,
images/difforme/paraphyses2.jpg,100%,image-local,1,,geoglossum difforme,,
images/difforme/paraphyses.jpg,100%,image-local,3,,geoglossum difforme,,
images/difforme/details.htm,,html-local,,,geoglossum difforme,,
images/elongatum/spore.jpg,100%,image-local,2,,hemileucoglossum elongatum,,
images/elongatum/paraphyses.jpg,100%,image-local,1,,hemileucoglossum elongatum,,
images/elongatum/details.htm,,html-local, ,,hemileucoglossum elongatum,,
images/fallax/ascocarp.jpg,100%,image-local,1,Ascocarp Geoglossum fallax &copy:M Greaves,geoglossum fallax,,
images/fallax/spore.jpg,100%,image-local,3,,geoglossum fallax,,
images/fallax/paraphyses.jpg,100%,image-local,2,,geoglossum fallax,,
