Taxon,family,colour,clubheight,stemsize,headratio,headsurface,headshape,headdelimited,stemcolour,stemsurface,hairlength,ascuslength,ascuswidth,sporenumber,sporelength,sporewidth,sporeshape,sporematurity,sporecolour,sporesepta,paraphysescurvature,paraphysesapex,paraphysessepta,paraphysescolour,paraphysesbranch,paraphysesconstriction,paraphysesaglutination,paraphyseslength,habitat,references,commonness,ukspecies
sabuloglossum arenarium,sabuloglossum,brown | black | blackbrown,[2-4],,[.6-.9],smooth,clavate,no,black,rugose,n/a,[130-160],[18-35],8,[25-40],[3.5-5],,,hyaline | palebrown,0,crescent | crook,cylindrical | pearshaped,wide,coloured,,constricted,not agglutinated,,sand,,V Rare 22,Currently on FRDBI
maasoglossum aseptatum,maasoglossum,black,[3.1-8.2],,,smooth,,no,black,smooth,n/a,[104-131],[10-13.5],8,[23-30],[5.4-6.3],,,hyaline | dark,0,straight | crescent |crook | curled,cylindrical | pearshaped,wide,coloured,,,agglutinated,longer,soil | moss,,,Not currently on FRDBI
geoglossum atropurpureum,geoglossum,brown | black | blackbrown,[2.5-5.2],[1.1-2.9],,smooth,clavate | spathulate,,black | blackbrown,scaley | smooth | rugose,,[106-127],[8.9-11.7],8,[20-35],[4.5-5],,late,hyaline,0,straight | crescent,cylindrical | pearshaped,wide,coloured,,constricted,agglutinated,,grassland | sand | acidic,,Rate 196,Currently on FRDBI
geoglossum barlae ,geoglossum,black,[2-3],,[.3-.5],smooth,clavate | lanceolate,no,black | blackbrown,rugose,,[175-188],[20-23],8,[75-90],[5-6],,early,dark,7,crescent | crook | curled,globose | cylindrical | pearshaped,wide,coloured,,constricted,not agglutinated,,grassland,,V Rare,Currently on FRDBI
glutinoglossum circinatum,glutinoglossum,black | blackbrown,[1-2.8],[.5-2.1],[.2-.25],glutinous | shiny | tomentose,lanceolate,no,blackbrown,glutinous | smooth | shiny,,[217-249],[16-21],8,[78-94],[5-5.1],,late,hyaline | palebrown,[3-7],straight |crescent | crook | curled,cylindrical | pearshaped | globose,wide,coloured,,,,,woodland,,,Found in Siberia
microglossum clavatum ,microglossum,darkgreen |greenbrown,[1.3-3.1],[.5-1.25],[.5-.7],smooth,clavate | lanceolate,,darkgreen ,smooth,,[96-118],[8.2-10.1],8,[15.5-20.4],[4.5-5],,,hyaline,0,straight,cylindrical,,,base | middle,,not agglutinated,,calcareous soil,,,Found in Spain
geoglossum cookeanum ,geoglossum,black,[2-9],[1-4],[.2-.5],smooth,clavate,yes,black | blackbrown,rugose,,[160-185],[14-17],8,[52-71],[5.5-7],,early,dark,7,straight | crescent,globose | pearshaped,narrow,coloured,,constricted,not agglutinated,longer,grassland | dunes,,V Common 896,Currently on FRDBI
trichoglossum confusum ,trichoglossum,black,[1.5-2.5],[1-1.5],[.3-.5],hairy,clavate,,black | brown,hairy,,[150-200],[12-16],8,[57-85],[5-7],,early,dark,[5-7],straight | crescent,cylindrical | pearshaped,,,,,not agglutinated,longer,soil,,,Found in USA
microglossum cyanobasis ,microglossum,palebrown,[2-6],,[.3-.66],smooth,clavate,yes,palebrown | blue,smooth,,[109-118],[10-11],8,[18.5-19.5],5,,,hyaline,0,straight | crescent | crook | hook,cylindrical,wide,,base | middle | apex,,not agglutinated,,soil,,,Northern Spain
geoglossum difforme ,geoglossum,black,[3-12],,[.25-.5],glutinous | smooth,clavate,,black,glutinous,,[240-275],[18-25],8,[92-115],[6-7],,,dark,[10-15],straight | crescent | crook | hook,,,coloured,,,not agglutinated,longer,soil | wetlogs,,V Rare 28,Currently on FRDBI
hemileucoglossum elongatum ,hemileucoglossum,black,[2-5],,,,,no,brown | blackbrown,smooth | rugose,,[110-150],[14-18],8,[50-60],[5-7],,,hyaline,[3-7],straight | crescent,pearshaped,,,,,agglutinated,,grassland,,V Rare 25,Currently on FRDBI
geoglossum fallax ,geoglossum,black | brown,[5-8.5],[4-5],[.2-0.5],rugose,clavate,yes,brown | blackbrown,rugose,,[153-170],[18-20],8,[80-115],[4-5],,late,dark,[8-13],straight | crescent | crook | hook,cylindrical | pearshaped,wide,,,,not agglutinated,longer,grassland,,V Common 1274,Currently on FRDBI
trichoglossum farlowii,trichoglossum,black,[3-8],,[.3-.5],hairy,clavate,,black,hairy,,[150-180],[15-20],8,[57-75],[5-7],,,dark,[0-5],straight | crescent | hook,pearshaped,,,,,not agglutinated,,soil | woodland,,,Uk and France
microglossum fuscorubens,microglossum,palebrown,[3-9],[1-4],[.6-.8],smooth,lanceolate | clavate,,palebrown,smooth,,[100-130],[10-12],8,[20-21],[4-4.5],,,hyaline,,straight,cylindrical,,,base,,not agglutinated,,moss,,,Not currently on FRDBI
geoglossum glabrum ,geoglossum,black,[4-10],[4-9],[.3-.5],smooth,lanceolate,yes,black,smooth,,[150-190],20,8,[55-80],[6-8],,,dark,[5-7],straight,pearshaped,,,,,not agglutinated,,grassland | sphagnum,,Rare 54,Currently on FRDBI
glutinoglossum glutinosum ,glutinoglossum,black | blackbrown,[1.5-5.5],,[.25-.5],glutinous | smooth | alveolate | shiny,clavate | lanceolate | cylindrical,no,black |blackbrown,glutinous | smooth | shiny,,[210-240],[12-16],8,[63-72],[4.5-5.1],,late,palebrown | dark,3,straight | crescent,globose | pearshaped | cylindrical,wide,coloured,,,agglutinated,longer,grassland | woodland,,Common 585,Currently on FRDBI
microglossum griseoviride ,microglossum,green,[.8-3.2],,[.3-.66],smooth,lanceolate | grooved,yes,green,rugose,,[105-140],[8-10],8,[16-20],[4-5],,late,hyaline,0,straight,cylindrical | pearshaped,,coloured,base,,not agglutinated,,woodland,,,Not currently on FRDBI
glutinoglossum heptaseptatum,glutinoglossum,black | blackbrown,[2-4.5],,[0.15-.5],glutinous | smooth | shiny,clavate | lanceolate,no,blackbrown | brown,glutinous | smooth | shiny,n/a,[215-225],[14-16],8,[74-97],[4-5],,late,palebrown | dark,7,straight | crescent,globose | pearshaped,wide,,anastomosis,,agglutinated,longer,wetsoil,,,Czech Republic
trichoglossum hirsutum ,trichoglossum,black,[2.5-9],[1-7.5],,hairy,,yes,black,hairy,[110-315],[175-275],[18-25],8,[110-140],[5-7],,early,dark,[13-17],straight | crescent | crook,cylindrical,wide,,,,not agglutinated,,grassland,,V Common 866,Currently on FRDBI
trichoglossum hirsutum var longisporum,trichoglossum,black,[2.5-9],[1-7.5],,hairy,,,black,hairy,[110-180],[237-281],[18-25],8,[160-200],[6-7],,early,dark,15,straight | crescent | crook,cylindrical,,,,,not agglutinated,,grassland,,,Not currently on FRDBI record as a var
