URI,ImageWidth,Type,Priority,Caption,Taxon,Character,State
# TaxonShape character,,,,,,,
https://c2.staticflickr.com/6/5616/31822266625_eae7e95518_z.jpg,100%,image-web,,Underside of squalida    ,squalida C. Kaufholtz-Couture nom. prov.,,
https://c1.staticflickr.com/9/8136/29323299482_34e3fcbfc2_z.jpg,100%,image-web,,Cross section through a squalida    ,squalida C. Kaufholtz-Couture nom. prov.,,
https://c1.staticflickr.com/1/618/31784785606_0de4405d29_z.jpg,100%,image-web,,Top down view of squalida    ,squalida C. Kaufholtz-Couture nom. prov.,,
https://c2.staticflickr.com/4/3674/33598526652_2206f74f4e_c.jpg,100%,image-web,,Microscopic diagram squalida    ,squalida C. Kaufholtz-Couture nom. prov.,,
https://c1.staticflickr.com/1/752/31075700664_ec9eda465f_z.jpg,100%,image-web,,Microscopical features squalida    ,squalida C. Kaufholtz-Couture nom. prov.,,
#photos/maculata/Maculata1.JPG,100%,image-local,,Top down view of maculata    ,maculata Boud.,,
#photos/maculata/Maculata2.JPG,100%,image-local,,Velipellis at the top of the pileus maculata    ,maculata Boud.,,
#photos/rimosa/Rimosa1.JPG,100%,image-local,,Top down view of rimosa    ,rimosa (Bull.) P. Kumm.,,
#photos/rimosa/Rimosa2.JPG,100%,image-local,,Photo 2 rimosa    ,rimosa (Bull.) P. Kumm.,,
#photos/rimosa/RimosaMicro.JPG,100%,image-local,,Microscopical features rimosa    ,rimosa (Bull.) P. Kumm.,,
#photos/grammata/Grammata1.JPG,100%,image-local,,Top down view of grammata    ,grammata Quel.,,
#photos/grammata/Grammata2.JPG,100%,image-local,,Underside of grammata    ,grammata Quel.,,
#photos/grammata/GrammataMicro.JPG,100%,image-local,,Microscopical features grammata    ,grammata Quel.,,
#photos/oblectabiliscomplex/OblectabilisComplex1.JPG,100%,image-local,,Top down view of oblectabilis    ,oblectabilis complex (cKc0576),,
#photos/oblectabiliscomplex/OblectabilisComplex2.JPG,100%,image-local,,Photo 2 oblectabilis    ,oblectabilis complex (cKc0576),,
#photos/oblectabiliscomplex/OblectabilisComplexMicro.JPG,100%,image-local,,Microscopical features oblectabilis complex    ,oblectabilis complex (cKc0576),,
