Taxon,BasidiosporeType,BasidiosporeShape,BasidiosporeApex,BasidiosporeLength,BasidiosporeWidth,Qvalue,BasidiosporeOrnamentation,BasidiaShape,BasidiaLength,BasidiaWidth,BasidiaSpored,CheilocystidiaPresence,CheilocystidiaShape,CheilocystidiaLength,CheilocystidiaWidth,CheilocystidiaOxalateCrystals,CheilocystidiaWallThickness,CheilocystidiaAmmoniacalTest,ParacystidiaPresence,ParacystidiaShape,ParacystidiaLength,ParacystidiaWidth,PleurocystidiaPresence,PleurocystidiaShape,PleurocystidiaLength,PleurocystidiaWidth,PleurocystidiaOxalateCrystals,PleurocystidiaWallThickness,PleurocystidiaAmmoniacalTest,ApexCaulocystidiaPresence,ApexCaulocystidiaShape,ApexCaulocystidiaLength,ApexCaulocystidiaWidth,ApexCaulocystidiaOxalateCrystals,ApexCaulocystidiaWallThickness,ApexCaulocystidiaAmmoniacalTest,MedianCaulocystidiaPresence,MedianCaulocystidiaShape,MedianCaulocystidiaLength,MedianCaulocystidiaWidth,MedianCaulocystidiaOxalateCrystals,MedianCaulocystidiaWallThickness,MedianCaulocystidiaAmmoniacalTest,Cauloparacystidia,MacroChemical,Habitat,TreesUnder,PileusDiameterX,PileusDiameterY,BaseOfTheStipe,HydrogenPotential,Sosie,Odor,Subgenera,Section,Subsection,DistinctiveFeatures1,ReferencesSources1,DistinctiveFeatures2,ReferencesSources2,DistinctiveFeatures3,ReferencesSources3
abjecta P. Karst.,Leiospora,Amygdaliform | Subamygdaliform,Subconical,[10-14],[6-7.5],[1.6-2],Smooth,Claviform,[35-42],[10-12],[4-4],Yes,Fusiform | Subfusiform | Lageniform | Cylindrical | Metuloid,n/a,n/a,Yes| Sparse,[1-2.4],n/a,Yes,Claviform,n/a,n/a,Yes,Utriform |Sublageniform | Cylindrical | Metuloid,[51-86],[13-21],Yes| Sparse | No,[1.0-1.5],n/a,Yes,Fusiform | Subfusiform | Lageniform | Cylindrical | Metuloid,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil | Moss,Conifers,[10-25],[10-25],Not bulbous,n/a,fuscidula,Spermatic,Inocybe,,,"The macroscopical description is a compilation of the original protologues. It should be remarked however, that there is some variation in macroscopical characters, especially with regard to pileal colour. This variation is probably caused only by the development of the velipellis, and for that reason I assume that not much taxonomic value should be attached to that characters. More material might show constant differences, justifying then a treatment of infraspecific taxa.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 120-122","According to most mycologists who have reported I. abjecta since 1879, the salient features of this rather undistinguished Inocybe are a dull brown pileus with persistent pallid superficial layer, pale brown or pallid fibrillose stipe that is not pruinose, spores about 8-10 x 4-6 micron, and moderately thick-walled pleurocystidia. The lack of pruinosity at the apex of the stipe is usually stressed, and is a marked feature of the Nova Scotian specimens. It appears, however, that there may be some discrepancies between the first and the more recent accounts of the species. In the original diagnosis, Karsten describes the apex of the stipe as pruinose (""i toppen hvitpudrad""), and gives the size of the spores as 10-13 x 5-7 micron. Massee, who apparently examined part of the type (Massee, G. 1904. A monograph of the genus Inocybne. Karsten. Ann. Bot. 18 : 459-504; p. 480), states that the spores are 10-14 x 5-7 micron. If these measurements are correct and Karsten's description of the apex of the stipe as pruinose is accurate, the current concept of I. abjecta may have to be reconsidered.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes II., Mycologia, vol. 62, 1970; p. 925-928",There is a difference of 5 microns long in basidiospore measurements between the description of Grund & Stunz and that of Kuyper. Grund / Stuntz: basidiospores = 7-9.5 x 4.5-5 microns and by Kuyper: basidiospores = 10-14 x 6-7.5 microns. Is it really the same species?,"Kaufholtz-Couture, C. Fungiquebec, 2018."
abundans Murrill,Goniospora,Polygonal,Conical | Subconical,[6.5-9],[5-7],n/a,6 to 10 moderate sized nodules,Claviform,[24-33],[8-9],[4-4],Yes,Ventricose | Metuloid,n/a,n/a,Yes | No,n/a,n/a,Yes,Claviform,[16-20],[6.5-9],Yes,Ventricose | Metuloid,[38-55],[12-23],Yes,[5.5-8],n/a,Yes,Ventricose | Metuloid,[45-68],[12-17.5],Yes | No,n/a,n/a,Yes,Claviform | Metuloid,[45-77],[13-19],Yes | No,n/a,n/a,n/a,n/a,Herbaceous | Woods,Hardwoods | Conifers,[10-25],[10-25],Marginate bulbous,n/a,lacera | infelix,Oily rancid,Clypeus,,,"Our collection consists of a single well-developed carpophore, whose agreement with the type of I. abundans is no complete that we are certain it is correctly identified. Its brownish-yellow pileus, densely pruinose stipe, rather small, angular-nodulose spores, and broadly ventricose, thich-walled pleurocystidia make it easy to recognize. Kauffman says of it (Kauffman, C. H. 1924. Inocybe. N. Amer. Fl. 10(4) : 227-260) ""know only from the type locality"" and we cannot find any previous reference to its occurrence in Canada. Basidiospores of holotype of I. abundans are 6.5-8 (-9) x 5-6 (-7) micron, in outline as described above, and the pleurocystidia are 40-55 (-60) x 16.5-20 (-28) micron, broadly ventricose, thick-walled, and usually narrowed to a slender base. Inocybe lacera (Fr.) Kummer, and its varieties and I. infelix Pk. (probably a variety of I. lacera) closely resemble I. abundans macroscopically, but they have smooth basidiospores.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VIII., Mycologia, vol. 76(4), 1984; p. 737-738",,,,
acriolens Grund & D.E. Stuntz,Goniospora,Polyhedral,Conical | Subconical,[6.5-10],[5-6.5],n/a,"5 to 8 low, blunt nodules",Claviform,[26-33],[8-10],[4-4],Yes,Fusoid | Metuloid,[16-22],[8-11],No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Fusoid | Metuloid,[45-60],[11-21],Yes,[3.5-5.5],n/a,Yes,Fusoid | Metuloid,n/a,n/a,No,n/a,n/a,Yes,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Spruce | Fir,[20-25],[20-25],Equal,n/a,n/a,Green-corn,Clypeus,,,"The brown pileus with pallid umbo and reddish to incarnate tinges between umbo and margin, the pallid, persistent superficial layer, the entirely pruinose stipe, and the pungent, disagreeable odor characterized this Inocybe. It does not seem closely related to any of the nodulose-spored species known to us.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes III., Mycologia, vol. 67, 1975; p. 19-21",,,,
acuta Boud.,Goniospora,Little nodulose,Conical | Subconical,[8-11],[5.5-7.5],n/a,6 to 10 rather small nodules,Claviform,[27.5-33],[10-11],[4-4],Yes,Ventricose | Metuloid,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[55-77],[12-20],Yes | No,[1-3.3],n/a,Yes,Versiform,n/a,n/a,Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Hemlock,[17-25],[17-25],Not bulbous,n/a,n/a,Spermatic,Clypeus,,,"We are following the concept of I. acuta given by Kuehner and Boursier, to whose description (Kuehner and Boursier. 1932. Notes sur le genre Inocybe. I. Les Inocybes goniospores (suite). Bull. Soc. Mycol. France 48: 118-161; p. 130) our specimens correspond closely. Kauffman did not include this species in his monograph of Inocybe (Kauffman, C. H. 1924. Inocybe. North Amer. Fl. 10(4) : 227-260), and we have not been able to find any report of it from North America. We cannot concur in the opinion of some European mycologists, that I. acuta and I. umboninota Peck are synonymous. They are similar in appearance, but have different types of spores. This is the first record of I. acuta for North America.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes IV., Mycologia, vol. 69, 1977; p. 394-395","To be characterised shortly within the section Inocybe, I. acuta has a dark appearance with prominent umbo, stipe with whitish bulb at base, and rather dark spores. The identity of Inocybe acuta has been constantly misunderstood since Kuehner and Boursier (1932) regarded it as a variable species of montane spruce forests. The confusion, involving, for example, the wrong habitat (""bei Nadelbaeumen, auf kalkhaltigen Boden""), can be found in literature such as the key provided by Stangl and Enderle (1983). And still, recently, Breitenbach and Kraenzlin (2000) synonymised I. striata with I. acuta. Boudier saved a type specimen, remarked on its growth among Sphagnum, and described this species well. One reason for the misunderstandings has probably been that Salix thickets have largely been ignored as collection sites. Also, Lange (1917) regarded I. acuta as synonymous with I. umboninota Peck. Adding to the confusion, Bon (1976) described I. acutella, a species resembling I. acuta and growing in Sphagnum near Salix and Alnus. He stated that I. acutella differs from I. acuta (and the separate I. umboninota) in spores and habitat, but did not state whether he had studied the type of I. acuta (Bon 1976, 1979). Romagnesi (1989) did study the type of I. acuta and regarded it as a synonym of I.  cutella; a conclusion we share. In microscopic features, the type of I. acuta clearly coincided with our collections from Salix thickets and with Bon's detailed descriptions of I. acutella. The macroscopic features also matched. Peck (1884) offered a scanty description of Inocybe umboninota from the United States, but fortunately saved a type. Esteve-Raventos (1987) found the spores of Peck's type to be star-shaped, and thus clearly deviating from the spores of I. acuta Boud., judging from his photographs. Kauffman (1924) described I. prominens from one of Peck's collections of I. umboninota. The microscopic features of I. prominens do not fit I. acuta either : the spores are smaller, 6-8 X 4-6 microns, sometimes irregularly subglobose, and the cystidia have thin walls (Kauffman 1924).","Kokkonen, Katri; Vauras, Jukka. Eleven new boreal species of Inocybe with nodulose spores, Mycol Progress (2012) 11:299-341; p. 304-306","The description given by Kokkonen and Vauras differs somewhat from that of Grund and Stuntz. I add it here for comparison, while promoting the American version for this key.
Pileus : 7-42 mm;
Smell : Not distinctive | Slightly spermatic;
Spores : 8.3-12.3 x 5.8-7.4 microns | Q. 1.2-1.8, weakly nodulose with a few obtuse nodules or angular;
Basidia : 22-37 x 8-14 microns, clavate, 4-spored;
Pleurocystidia : 47-75 x 12-26 microns, lageniform, cylindrical, utriform, fusoid, crystalliferous wall (2-3.5 micron);
Cheilocystidia : Similar to pleurocystidia;
Paracystidia rare;
Caulocystidia metuloid at stipe apex, similar to pleurocystidia;
Cauloparacystides : Yes;
Habitat : Moist places, with Salix;
Comments : See DistinctiveFeatures2","Kaufholtz-Couture, C. Fungiquebec, 2018."
"acutoides Kokkonen & Vauras, sp. nov.",Goniospora,Angular | Nodulose | Quadrangular,Conical | Subconical,[7.5-11.7],[5-7.4],[1.2-1.9],A few obtuse nodules or angular | Protruding apical nodule,Claviform,[26-41],[9-13],[2-4],Yes,Lageniform | Cylindrical | Fusiform | Metuloid,[37-59],[16-24],Yes,[2-3.5],n/a,Yes,n/a,n/a,n/a,Yes,Lageniform | Cylindrical | Fusiform | Metuloid,[48-76],[13-28],Yes,[2-3],n/a,Yes,Lageniform | Cylindrical | Fusiform | Metuloid,n/a,n/a,Yes,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,n/a,Inland shores | On alluvial lake or river shores,Willow,[9-42],[9-42],Rounded,n/a,n/a,Not distinctive | Slightly spermatic,Clypeus,,,"Inocybe acutoides can be recognized by its association with Salix and its paler, equal stipe and more obtuse umbo than I. acuta, which grows in similar habitats. Sometimes they share a site. However, the distribution of I. acutoides is concentrated in the northern boreal zone, whereas I. acuta has a wide distribution from France to the alpine zone of northern Fennoscandia. The most distinct microscopic differences from I. acuta are paler spores and frequent thin-walled cheilocystidia. These two species show clear divergence in their ITS; there were 98 base pair differences and 17 insertions/deletions (1-19 bases in length) between I. acuta and the holotype of I. acutoides. Inocybe borealis is close to I. acutoides in both microscopic features and in ITS. The holotypes differed only in 11 bases and 3 insertions/deletions (1-3 bases in length). Though I. borealis might grow in shore forests, it is not associated with Salix according to our observations. In addition, it looks somewhat different from I. acutoides; the pileus, for example, often has a yellow tinge. The most useful microscopic difference from I. acutoides seems to be the numerous thick-walled caulocystidia. Inocybe lapponica can be confused with I. acutoides in the northern boreal zone. These fungi resemble each other in both macroscopic and microscopic characteristics. However, the spores of I. lapponica usually lack prominent apical nodules and are more rarely elongated. I. lapponica also grows on shores, but is not restricted to Salix.","Kokkonen, Katri; Vauras, Jukka. Eleven new boreal species of Inocybe with nodulose spores, Mycol Progress (2012) 11:299-341; p. 306-309",,,,
adaequata (Britzelm.) Sacc.,Leiospora,Phaseoliform,Obtuse,[9-14],[5.5-7.5],[1.5-2.1],Smooth,Claviform,[29-44],[9-12],[2-4],Yes,Cylindrical | Subutriform,[26-70],[8-20],No,[0.5-1.5],n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindrical | Subutriform,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Oak | Beech | Chestnut | Hazel,[23-80],[23-80],Not bulbous,n/a,n/a,Spermatic | Green-corn,Inosperma,Rimosae,,"1) This species does not contain muscarin (cf. Stijve & al. In Persoonia 12 : 469. 1985) and is considered the sole edible species of Inocybe. 2) For a long time mycologists have tried to subdivide this variable species into two taxa (Bresadola, Iconogr. mycol. 15 : pl. 724-725. 1930 ; Alesio, Iconogr. mycol. 29 : 126-129. 1980). The main differences used to separate these variants are habit of the basidiocarps and colours of the pileipellis. However, none of these characters is sufficiently reliable as frequently specimens with intermediate characters can be encountered. For that reason these variants are regarded here conspecific, and not even infraspecific status in occorded to them. 3) Distribution maps of this species have been published by Krieglsteiner (in Z. Mykol. 45 : 95. 1979, for the Federal Republic of Germany), Kreisel & al. (in Hercynia 17 : 242. 1980, for the German Democratic Republic), and Heinemann & Thoen (Distr. Fung. Belg. Lux. 1 : 61. 1982, for Belgium and Luxemburg).","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 45-47",,,,
aeruginascens Babos,Leiospora,Subamygdaliform,Obtuse | Subconical,[7.5-10],[4-6],[1.5-2],Smooth,Claviform,[23-34],[7-10],[4-4],Yes,Fusiform | Subutriform | Subclaviform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Fusiform | Subutriform | Subclaviform | Metuloid,[37-71],[12-24],Yes,[1.5-2],n/a,Yes,Fusiform | Subutriform | Subclaviform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,Yes,n/a,Sandy soil,Aspen | Willow,[10-44],[10-44],Subbulbous,n/a,n/a,Disagreeable component | Soap,Inocybe,,,"1) This species lacks muscarine, but contains psilocybin in rather great amounts (Drewitz in Mykol. Mitt. 26 : 11. 1983 ; Stijve & al. In Persoonia 12 : 472. 1985). 2) Specimens from the Atlantic coast differ from the Hungarian collections in having somewhat larger spores and less thick-walled cystidia. But as both characters show some overlap, the collection from West Europe do not deserve an autonomous rank.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 129-130",,,,
albodisca Peck,Goniospora,Irregularly polygonal | Subrectangle,Conical,[6.5-9],[4.5-6],n/a,7 to 9 rather small warts,Claviform,[20-38],[8-10],[4-4],Yes,Ventricose | Metuloid,[50-65],[14-20],Yes,[0.5-1.5],n/a,Yes,Claviform,[19-35],[5.5-9],Yes,Ventricose | Metuloid,[46-66],[13-20],Yes,[5-6.5],n/a,Yes,Sublageniform | Claviform | Metuloid,[50-70],[11-20],Yes | No,[0.5-1.5],n/a,Yes,Sublageniform | Claviform | Metuloid,[52-74],[8-20],Yes | No,[0.5-1.5],n/a,n/a,n/a,Soil,Hemlock | Birch | Beech | Maple | Aspen,[15-25],[15-25],Marginate bulbous,n/a,n/a,Spermatic,Clypeus,,,"This is one of the commonest species along the Pacific Coast, less so apparently in the Atlantic coastal region. A comparaison of the western material (Stuntz, D. E. 1947. Studies in the Genus Inocybe. I. New and noteworthy species from Washington. Mycologia 39 : 21-55; p. 22) with the description given here will show how constant in macroscopic features is this widely distributed species. That it occurs in Europe is not difficult to ascertain (cf. 9, Pl. 116 D, and 1, Pl. 762), but there it has been known as Inocybe hiulca (Fr.) Karst. or I. grammata Quel. As it appears that there is neither a type collection for I. hiulca nor one for I. grammata, and there is one for I. albodisca, we prefer to use Peck's specific epithet until a neotype is declared.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes V., Mycologia, vol. 72, 1980; p. 670-671",,,,
albofibrillosa Stangl & Schmid-Heckel,Goniospora,Irregularly quadrangular,Conical | Subconical,[6-9],[4.5-6],n/a,Slightly gibbose,Claviform,[25-32],[7-8],[4-4],Yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Subcylindrical | Fusiform | Metuloid,[50-72],[10-16],Yes | Sparse,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Pine,[14-37],[14-37],Not bulbous,n/a,n/a,Not distinctive,Clypeus,,,Description according to the original by H. Schmid-Heckel.,"Stangl, Johann. Guida alla determinazione dei funghi Vol. 3 ; Inocybe, Saturnia 1991, 437 p.; p. 236",,,,
albomarginata Velen.,Leiospora,Regular | Subamygdaliform,Obtuse,[6-8.5],[4-5],[1.4-1.8],Smooth,Claviform,[24-29],[8-10],[4-4],Yes,Fusiform | Utriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Fusiform | Utriform | Metuloid,[41-70],[10-22],Yes,[1-1.5],n/a,Yes,Fusiform | Utriform | Metuloid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Calcareous soil,Oak | Beech,[23-31],[23-31],Submarginate bulbous | Marginate bulbous,n/a,n/a,Faintly spermatic,Inocybe,,,"Easily recognised because of marginate bulb, and smooth, minute spores. Macroscopically it is not unlike small specimens of I. asterospora Quel.. Inocybe glabripes Rick. differs in being cortinate and having an equal stipe that is hardly pruinose. Inocybe amblyspora Kuehner differs in having a smooth pileus covering, a larger marginate bulb and somewhat larger spores. Inocybe pseudoreducta Stangl & Glowinski also has larger spores with a more conical apex and broader pleurocystidia.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 186-188",,,,
