Character,CharacterState,CharacterStateTranslation,StateHelp,
BasidiosporeType,Leiospora,,,
BasidiosporeType,Goniospora,,,
BasidiosporeShape,Amygdaliform,,,
BasidiosporeShape,Subamygdaliform,,,
BasidiosporeShape,Polygonal,,,
BasidiosporeShape,Polyhedral,,,
BasidiosporeShape,[Little] nodulose,,,
BasidiosporeShape,"angular, nodulose, quadrangular",,,
BasidiosporeShape,Phaseoliform,,,
BasidiosporeShape,"Irregularly polygonal, subrectangle",,,
BasidiosporeShape,Irregularly quadrangular,,,
BasidiosporeShape,"Regular, subamygdaliform",,,
BasidiosporeShape,Little gibbose,,,
BasidiosporeShape,Strongly nodulose,,,
BasidiosporeShape,"Regular, subphaseoliform",,,
BasidiosporeShape,Regular,,,
BasidiosporeShape,"Starry, long lumpy protuberances",,,
BasidiosporeShape,Subreniform,,,
BasidiosporeShape,"Inequilaterally, amygdaliform, subphaseoliform",,,
BasidiosporeShape,Elliptical,,,
BasidiosporeShape,Subphaseoliform,,,
BasidiosporeShape,"Nodulose, angular",,,
BasidiosporeShape,"Inequilaterally, amygdaliform",,,
BasidiosporeShape,"Subglobose, obtusely ellipsoid",,,
BasidiosporeShape,"Subglobose, broadly ellipsoid",,,
BasidiosporeShape,"Broadly ellipsoid, Ellipsoid",,,
BasidiosporeShape,"Oblong, angular",,,
BasidiosporeShape,Oblong,,,
BasidiosporeShape,"Angular, nodulose",,,
BasidiosporeShape,"Subreniform, ellipsoidal",,,
BasidiosporeShape,Isodiametric,,,
BasidiosporeShape,"Profile slightly rounded dorsally, deeply convex ventrally",,,
BasidiosporeShape,"Angular, quadrangular",,,
BasidiosporeShape,Subcylindrical,,,
BasidiosporeShape,"Subamygdaliform, subpolygonal",,,
BasidiosporeShape,"Subamygdaliform, suprahilar depression",,,
BasidiosporeShape,"Subreniform, subellipsoid, suprahilar depression",,,
BasidiosporeShape,"Subamygdaliform, amygdaliform",,,
BasidiosporeShape,"Subamygdaliform, indistinct suprahilary depression",,,
BasidiosporeShape,"Subamygdaliform, amygdaliform, suprahilar depression",,,
BasidiosporeShape,"Cylindrical, subreniform, inequilaterally, amygdaliform, ellipsoidal",,,
BasidiosporeShape,"Ellipsoidal, subcylindrical, minimally angular",,,
BasidiosporeShape,"Subamygdaliform, suprahiliar depression",,,
BasidiosporeShape,"Short oblong, subglobose",,,
BasidiosporeShape,"Pentagonal, large prominent apical nodule",,,
BasidiosporeShape,Nearly ellipsoid,,,
BasidiosporeShape,"Cylindric-boletoid, with or without slight suprahilar depression",,,
BasidiosporeShape,Subparameciiform,,,
BasidiosporeShape,"Globose to ovate, oval, reniform, inequilaterally, amydgaliform, subcylindrical",,,
BasidiosporeShape,"Long elliptical, long subcylindrical, long fusiform, conspicuous suprahilar depression",,,
BasidiosporeShape,"Long elliptical, long subcylindrical",,,
BasidiosporeShape,Parameciiform,,,
BasidiosporeShape,Stellate,,,
BasidiosporeShape,"Subreniform, inequilaterally, ellipsoidal",,,
BasidiosporeShape,Ellipsoidal,,,
BasidiosporeShape,"Oblong, ellipsoidal, subreniform",,,
BasidiosporeShape,Irregularly polygonal,,,
BasidiosporeShape,"Amygdaliform, subcylindrical",,,
BasidiosporeShape,"Inequilaterally, amygdaliform, flat suprahilar dorsal area, slight suprahilar depression",,,
BasidiosporeShape,Indistinctly phaseoliform,,,
