Group,Character,Label,Help,Status,ValueType,ControlType,Params,Weight,Strictness,Source,
Taxonomy,Taxon,Taxon,,,,,,,,,
Basidiospore,Basidiospore,Basidiospore,,key,text,single,,10,10,,
Pleurocystidia,PleurocystidiaPresence,Pleurocystidia presence,Presence or not,key,text,single,,10,10,,
Macromorphology,CapSize,Cap size (width),Measure in millimeter (mm),key,text,single,,8,8,,
Basidiospore,BasidiosporeSize,Basidiospore size,The length of the majority of the largest basidiospores,key,text,single,,10,10,,
Macromorphology,Discoloration,Discoloration,,key,text,single,,10,10,,
Macromorphology,StipeBase,Stipe base,,key,text,single,,10,10,,
Macromorphology,CapSurface,Cap surface,,key,text,single,,10,10,,
Macromorphology,Odor,Odor,,key,text,single,,8,8,,
Caulocystidia,Caulocystidia,Caulocystidia,,key,text,single,,10,10,,
Tree,Tree,Tree,,key,text,single,,8,8,,
,,,,,,,,,,,
,,,,,,,,,,,
