Taxon,Basidiospore,PleurocystidiaPresence,CapSize,BasidiosporeSize,Discoloration,StipeBase,CapSurface,Odor,Caulocystidia,Tree
abjecta P. Karst.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Coniferous
abundans Murrill,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Definite,At stipe center,Mixed
acriolens Grund & D.E. Stuntz,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,At stipe center,Fir
acuta Boud.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Hemlock
acystidiosa Kauffman (variabillima),"Angular, Nodulose or Spiny, Digit",No pleurocystidia,Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Pine
adaequata (Britzelm.) Sacc. (jurana),Smooth,No pleurocystidia,Over 50 mm,"Large, length over 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Decidious
agardhii (N. Lund) P.D. Orton,Smooth,No pleurocystidia,Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Mixed
agglutinata Peck (whitei),Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,Only near apex,Coniferous
alabamensis Kauffman,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,At stipe center,Soil
albodisca Peck (grammata),"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,At stipe center,Hemlock
albomarginata Velen. (ovalispora),Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Decidious
amblyspora Kuehner,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Mixed
angustispora Bessette & Fatto,Smooth,No pleurocystidia,Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Oak
anomala Murrill,Smooth,No pleurocystidia,Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Redwood
apiosmota Grund & D.E. Stuntz,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,n/a
armoricana R. Heim,Smooth,No pleurocystidia,Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Coniferous
asterospora Quel.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Definite,At stipe center,Mixed
auricoma (Batsch) Sacc. (pallidipes),Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
aurora Grund & D.E. Stuntz,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Spruce
aurora var. inodorata Grund & D.E. Stuntz,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Mixed
bakeri Peck,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Oak
