URI,ImageWidth,Type,Priority,Caption,Taxon,Character,State
images/ahmadii/description.jpg,100%,image-local,2,Description ahmadii&copy:Schumacher,ahmadii,,
images/ahmadii/spore.jpg,100%,image-local,1,Spores ahmadii&copy:B.Jeannerot,ahmadii,,
images/barlae/spore.jpg,100%,image-local,1,Spores barlae,barlae,,
images/barlae/spore2.bmp,100%,image-local,2,Spores barlae,barlae,,
images/barlae/description.jpg,100%,image-local,3,Description barlae&copy:Schumacher,barlae,,
images/cejpii/spore.jpg,100%,image-local,1,Cejpii spore&copy:M Greaves,cejpii,,
images/cejpii/description.jpg,100%,image-local,2,Description cejpii&copy:Schumacher,cejpii,,
images/citrina/spore.jpg,100%,image-local,1,Spores citrina,citrina,,
images/citrina/description.jpg,100%,image-local,2,Description citrina&copy:Yao & Spooner,citrina,,
images/colensoi/spore.jpg,100%,image-local,1,Spores colensoi&copy:Schumacher,colensoi,,
images/colensoi/description.jpg,100%,image-local,2,Description colensoi&copy:Schumacher,colensoi,,
images/crinita/spore.jpg,100%,image-local,1,Crinita spore&copy:M Greaves,crinita,,
images/crinita/description.jpg,100%,image-local,2,Description crinita&copy:Schumacher,crinita,,
images/crucipila/spore.jpg,100%,image-local,1,crucipila spore&copy:M Greaves,crucipila,,
images/crucipila/description.jpg,100%,image-local,2,Description crucipila&copy:Schumacher,crucipila,,
images/decipiens/spore.jpg,100%,image-local,1,Spore decipiens&copy:B Jeannerot,decipiens,,
images/decipiens/description.jpg,100%,image-local,2,Description decipiens&copy:Schumacher,decipiens,,
images/heterosculpturata/spore.jpg,100%,image-local,1,Spore heterosculpturata&copyM Greaves,heterosculpturata,,
images/heterosculpturata/description.jpg,100%,image-local,2,Description heterosculpturata&copy:Schumacher,heterosculpturata,,
images/heterosphaera/spore.jpg,100%,image-local,1,Spores heterosphaera&copy:M Greaves,heterosphaera,,
images/heterosphaera/hair.jpg,100%,image-local,2,Hairs heterosphaera&copy:M Greaves,heterosphaera,,
images/hyperborea/description.jpg,100%,image-local,1,Description hyperborea&copy:Schumacher,hyperborea,,
images/kerguelensis/spore.jpg,100%,image-local,1,Spores kerguelensis&copy:M Greaves,kerguelensis,,
images/kerguelensis/description.jpg,100%,image-local,2,Description kerguelensis&copy:Schumacher,kerguelensis,,
images/legaliae/spore.jpg,100%,image-local,1,legaliae spore&copy:M Greaves,legaliae,,
images/legaliae/description.jpg,100%,image-local,2,Description legaliae&copy:Schumacher,legaliae,,
images/macrospora/spore.jpg,100%,image-local,1,macrospora spore&copy:B Jeannerot,macrospora,,
images/macrospora/description.jpg,100%,image-local,2,Description macrospora&copy:Schumacher,macrospora,,
images/minor/spore.jpg,100%,image-local,1,minor spore&copy:M Greaves,minor,,
images/minor/description.jpg,100%,image-local,2,Description minor&copy:Schumacher,minor,,
images/minutella/spore.jpg,100%,image-local,1,minutella spore&copy:M Greaves,minutella,,
images/minutella/description.jpg,100%,image-local,2,Description minutella&copy:Schumacher,minutella,,
images/mirabilis/spore.jpg,100%,image-local,1,mirabilis spore&copy: D Kelly,mirabilis,,
images/mirabilis/description.jpg,100%,image-local,2,Description mirabilis&copy:Schumacher,mirabilis,,
images/nigrohirtula/spore.jpg,100%,image-local,1,nigrohirtula spore&copy:M Greaves,nigrohirtula,,
images/nigrohirtula/description.jpg,100%,image-local,2,Description nigrohirtula&copy:Schumacher,nigrohirtula,,
images/olivascens/spore.jpg,100%,image-local,1,olivascens spore&copy:M Greaves,olivascens,,
images/olivascens/description.jpg,100%,image-local,2,Description olivascens&copy:Schumacher,olivascens,,
images/patagonica/spore.jpg,100%,image-local,1,patagonica spore&copy:M Greaves,patagonica,,
images/patagonica/description.jpg,100%,image-local,2,Description patagonica&copy:Schumacher,patagonica,,
images/pennsylvanica/spore.jpg,100%,image-local,1,pennsylvanica spore&copyasturnatura,pennsylvanica,,
images/pennsylvanica/description.jpg,100%,image-local,2,Description pennsylvanica&copy:Schumacher,pennsylvanica,,
images/pilati/spore.jpg,100%,image-local,1,pilati spore,pilati,,
images/pilati/description.jpg,100%,image-local,2,Description pilati&copy:Schumacher,pilati,,
images/pseudotrechispora/spore.jpg,100%,image-local,1,pseudotrechispora spore&copy:M Greaves,pseudotrechispora,,
images/pseudotrechispora/description.jpg,100%,image-local,2,Description pseudotrechispora&copy:Schumacher,pseudotrechispora,,
images/rotundisperma/spore.jpg,100%,image-local,1,Description rotundisperma&copy:Schumacher,rotundisperma,,
images/rotundisperma/description.jpg,100%,image-local,2,rotundisperma spore&copy:Schumacher,rotundisperma,,
images/scutellata/spore.jpg,100%,image-local,1,scutellata spore&copy:M Greaves,scutellata,,
images/scutellata/description.jpg,100%,image-local,2,Description scutellata&copy:Schumacher,scutellata,,
images/setosa/spore.jpg,100%,image-local,1,setosa spore&copy:M Greaves,setosa,,
images/setosa/description.jpg,100%,image-local,2,Description setosa&copy:Schumacher,setosa,,
images/sinensis/spore.jpg,100%,image-local,1,Sinensis spore&copy:B.Jeannerot,sinensis,,
images/sinensis/description.jpg,100%,image-local,2,Description sinensis&copy:B.Jeannerot,sinensis,,
images/subhirtella/spore.jpg,100%,image-local,1,subhirtella spore&copy:M Greaves,subhirtella,,
images/subhirtella/description.jpg,100%,image-local,2,Description subhirtella&copy:Schumacher,subhirtella,,
images/superba/spore.jpg,100%,image-local,1,superba spore&copy:M Greaves,superba,,
